,robert,pablo,pilar,maria,anselmo,agustín,fernando,primitivo,rafael,andrés,eladio,sordo,joaquín,golz,kashkin,karkov,gomez,miranda,marty,berrendo,moro,palencia
robert,0,6,5,3,0,6,4,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0
pablo,6,0,3,3,0,7,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0
pilar,5,3,0,2,0,5,4,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0
maria,3,3,2,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anselmo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
agustín,6,7,5,3,0,0,4,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0
fernando,4,2,4,2,0,4,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0
primitivo,4,2,4,2,0,4,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
rafael,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
andrés,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eladio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sordo,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
joaquín,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
golz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kashkin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
karkov,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gomez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miranda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
marty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
berrendo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
palencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
