,robert,pablo,pilar,maria,anselmo,agustín,fernando,primitivo,rafael,andrés,eladio,sordo,joaquín,golz,kashkin,karkov,gomez,miranda,marty,berrendo,moro,palencia
robert,0,3,7,2,1,0,5,3,2,1,0,1,0,0,2,0,0,0,0,0,0,0
pablo,3,0,3,2,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
pilar,7,3,0,2,1,0,5,3,2,1,0,1,0,0,2,0,0,0,0,0,0,0
maria,2,2,2,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
anselmo,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
agustín,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fernando,5,2,5,2,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
primitivo,3,2,3,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
rafael,2,0,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
andrés,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eladio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sordo,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
joaquín,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
golz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kashkin,2,0,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
karkov,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gomez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miranda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
marty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
berrendo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
palencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
