,robert,pablo,pilar,maria,anselmo,agustín,fernando,primitivo,rafael,andrés,eladio,sordo,joaquín,golz,kashkin,karkov,gomez,miranda,marty,berrendo,moro,palencia
robert,0,149,139,85,96,73,33,48,8,17,7,33,7,15,7,14,1,0,1,0,0,0
pablo,149,0,62,37,43,42,18,20,1,8,4,11,0,4,0,1,1,1,0,0,0,0
pilar,139,62,0,60,12,26,18,31,4,5,5,25,11,1,3,0,0,0,0,0,0,0
maria,85,37,60,0,7,13,10,10,1,3,2,11,8,5,1,2,0,0,0,0,0,0
anselmo,96,43,12,7,0,22,19,8,3,4,3,7,0,0,0,0,0,0,0,0,0,0
agustín,73,42,26,13,22,0,12,21,1,2,4,4,0,0,0,0,0,0,0,0,0,0
fernando,33,18,18,10,19,12,0,10,1,3,2,4,0,0,0,0,0,0,0,0,0,0
primitivo,48,20,31,10,8,21,10,0,2,4,0,6,0,0,1,0,0,0,0,0,0,0
rafael,8,1,4,1,3,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
andrés,17,8,5,3,4,2,3,4,0,0,1,4,0,13,0,2,19,1,8,0,0,0
eladio,7,4,5,2,3,4,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
sordo,33,11,25,11,7,4,4,6,1,4,1,0,9,1,1,0,0,0,0,5,0,0
joaquín,7,0,11,8,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,2,0,0
golz,15,4,1,5,0,0,0,0,0,13,0,1,0,0,0,5,9,0,7,0,0,0
kashkin,7,0,3,1,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0
karkov,14,1,0,2,0,0,0,0,0,2,0,0,0,5,3,0,1,0,6,0,0,0
gomez,1,1,0,0,0,0,0,0,0,19,0,0,0,9,0,1,0,1,8,0,0,0
miranda,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
marty,1,0,0,0,0,0,0,0,0,8,0,0,0,7,0,6,8,0,0,0,0,0
berrendo,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0
moro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
palencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
