,robert,pablo,pilar,maria,anselmo,agustín,fernando,primitivo,rafael,andrés,eladio,sordo,joaquín,golz,kashkin,karkov,gomez,miranda,marty,berrendo,moro,palencia
robert,0,107,94,75,77,53,28,40,8,17,6,27,7,16,6,10,4,0,1,0,0,0
pablo,107,0,50,42,45,38,18,23,4,10,5,13,0,4,0,1,2,1,0,0,0,0
pilar,94,50,0,61,16,26,16,30,5,6,6,18,8,3,4,0,0,0,0,0,0,0
maria,75,42,61,0,13,16,12,13,2,5,4,12,7,5,2,4,0,0,0,0,0,0
anselmo,77,45,16,13,0,25,16,13,4,5,3,7,0,1,1,0,0,0,0,0,0,0
agustín,53,38,26,16,25,0,11,20,1,5,5,5,0,2,0,0,0,0,0,0,0,0
fernando,28,18,16,12,16,11,0,10,2,3,2,5,0,0,1,0,0,0,0,0,0,0
primitivo,40,23,30,13,13,20,10,0,3,6,1,8,0,1,1,0,0,0,0,0,0,0
rafael,8,4,5,2,4,1,2,3,0,0,1,1,0,0,1,0,0,0,0,0,0,0
andrés,17,10,6,5,5,5,3,6,0,0,2,5,0,17,0,4,15,1,7,0,0,0
eladio,6,5,6,4,3,5,2,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0
sordo,27,13,18,12,7,5,5,8,1,5,1,0,8,2,1,0,1,0,0,4,0,0
joaquín,7,0,8,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0
golz,16,4,3,5,1,2,0,1,0,17,1,2,0,0,0,5,10,0,7,0,0,0
kashkin,6,0,4,2,1,0,1,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0
karkov,10,1,0,4,0,0,0,0,0,4,0,0,0,5,2,0,2,0,3,0,0,0
gomez,4,2,0,0,0,0,0,0,0,15,0,1,0,10,0,2,0,1,6,0,0,0
miranda,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
marty,1,0,0,0,0,0,0,0,0,7,0,0,0,7,0,3,6,0,0,0,0,0
berrendo,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0
moro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
palencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
